Apple,苹果
Huawei,华为
Smartisan,锤子
Dell,戴尔
Samsung,三星
Lenovo,联想
Vivo,步步高
Gionee,金立
Asus,华硕
Motorola,摩托罗拉
Fujitsu,富士通
OnePlus,一加
Philips,飞利浦
Yulong,酷派
Toshiba,东芝
Haier,海尔
Coship,同洲
Intel,英特尔
Hewlett,惠普
D-Link,友讯
Cisco,思科
Microsoft,微软
HTC,宏达电子
Google,谷歌
TINNO,天珑
Qiku,奇酷
zte,中兴
OPPO,欧珀
TP-LINK,普联
Feixun,斐讯
Xiaomi,小米
LG,LG
Sony,索尼
NEC,NEC
Hitachi,日立
Hisense,海信
TCL,TCL
Acer,宏碁
Meizu,魅族
SHARP,夏普
BlackBerry,黑莓
Nokia,诺基亚
Alcatel,阿尔卡特
Doov,朵唯
Newmine,纽曼
Uniscope,优思
Letv,乐视
DAXIAN,大显
Changhong,长虹
Konka,康佳
BIRD,波导
China Mobile Group,中国移动
Siemens,西门子
Ericsson,爱立信
Panasonic,松下
MediaTek,联发科
